season,yr,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,cnt,dayOfWeek,days
1,0,1,0,0,0,1,0.24,0.81,0,16,Sat,0
1,0,1,1,0,0,1,0.22,0.8,0,40,Sat,0
1,0,1,2,0,0,1,0.22,0.8,0,32,Sat,0
1,0,1,3,0,0,1,0.24,0.75,0,13,Sat,0
1,0,1,4,0,0,1,0.24,0.75,0,1,Sat,0
1,0,1,5,0,0,2,0.24,0.75,0.0896,1,Sat,0
1,0,1,6,0,0,1,0.22,0.8,0,2,Sat,0
1,0,1,7,0,0,1,0.2,0.86,0,3,Sat,0
1,0,1,8,0,0,1,0.24,0.75,0,8,Sat,0
1,0,1,9,0,0,1,0.32,0.76,0,14,Sat,0
1,0,1,10,0,0,1,0.38,0.76,0.2537,36,Sat,0
1,0,1,11,0,0,1,0.36,0.81,0.2836,56,Sat,0
1,0,1,12,0,0,1,0.42,0.77,0.2836,84,Sat,0
1,0,1,13,0,0,2,0.46,0.72,0.2985,94,Sat,0
1,0,1,14,0,0,2,0.46,0.72,0.2836,106,Sat,0
1,0,1,15,0,0,2,0.44,0.77,0.2985,110,Sat,0
1,0,1,16,0,0,2,0.42,0.82,0.2985,93,Sat,0
1,0,1,17,0,0,2,0.44,0.82,0.2836,67,Sat,0
1,0,1,18,0,0,3,0.42,0.88,0.2537,35,Sat,0
1,0,1,19,0,0,3,0.42,0.88,0.2537,37,Sat,0
1,0,1,20,0,0,2,0.4,0.87,0.2537,36,Sat,0
1,0,1,21,0,0,2,0.4,0.87,0.194,34,Sat,0
1,0,1,22,0,0,2,0.4,0.94,0.2239,28,Sat,0
1,0,1,23,0,0,2,0.46,0.88,0.2985,39,Sat,0
1,0,1,0,0,0,2,0.46,0.88,0.2985,17,Sun,1
1,0,1,1,0,0,2,0.44,0.94,0.2537,17,Sun,1
1,0,1,2,0,0,2,0.42,1,0.2836,9,Sun,1
1,0,1,3,0,0,2,0.46,0.94,0.194,6,Sun,1
1,0,1,4,0,0,2,0.46,0.94,0.194,3,Sun,1
1,0,1,6,0,0,3,0.42,0.77,0.2985,2,Sun,1
1,0,1,7,0,0,2,0.4,0.76,0.194,1,Sun,1
1,0,1,8,0,0,3,0.4,0.71,0.2239,8,Sun,1
1,0,1,9,0,0,2,0.38,0.76,0.2239,20,Sun,1
1,0,1,10,0,0,2,0.36,0.81,0.2239,53,Sun,1
1,0,1,11,0,0,2,0.36,0.71,0.2537,70,Sun,1
1,0,1,12,0,0,2,0.36,0.66,0.2985,93,Sun,1
1,0,1,13,0,0,2,0.36,0.66,0.1343,75,Sun,1
1,0,1,14,0,0,3,0.36,0.76,0.194,59,Sun,1
1,0,1,15,0,0,3,0.34,0.81,0.1642,74,Sun,1
1,0,1,16,0,0,3,0.34,0.71,0.1642,76,Sun,1
1,0,1,17,0,0,1,0.34,0.57,0.194,65,Sun,1
1,0,1,18,0,0,2,0.36,0.46,0.3284,53,Sun,1
1,0,1,19,0,0,1,0.32,0.42,0.4478,30,Sun,1
1,0,1,20,0,0,1,0.3,0.39,0.3582,22,Sun,1
1,0,1,21,0,0,1,0.26,0.44,0.3284,31,Sun,1
1,0,1,22,0,0,1,0.24,0.44,0.2985,9,Sun,1
1,0,1,23,0,0,1,0.22,0.47,0.1642,8,Sun,1
1,0,1,0,0,1,1,0.22,0.44,0.3582,5,Mon,1
1,0,1,1,0,1,1,0.2,0.44,0.4179,2,Mon,2
1,0,1,4,0,1,1,0.16,0.47,0.3881,1,Mon,2
1,0,1,5,0,1,1,0.16,0.47,0.2836,3,Mon,2
1,0,1,6,0,1,1,0.14,0.5,0.3881,30,Mon,2
1,0,1,7,0,1,1,0.14,0.5,0.194,64,Mon,2
1,0,1,8,0,1,1,0.14,0.5,0.2836,154,Mon,2
1,0,1,9,0,1,1,0.16,0.43,0.3881,88,Mon,2
1,0,1,10,0,1,1,0.18,0.43,0.2537,44,Mon,2
1,0,1,11,0,1,1,0.2,0.4,0.3284,51,Mon,2
1,0,1,12,0,1,1,0.22,0.35,0.2985,61,Mon,2
1,0,1,13,0,1,1,0.24,0.35,0.2836,61,Mon,2
1,0,1,14,0,1,1,0.26,0.3,0.2836,77,Mon,2
1,0,1,15,0,1,1,0.26,0.3,0.2537,72,Mon,2
1,0,1,16,0,1,1,0.26,0.3,0.2537,76,Mon,2
1,0,1,17,0,1,1,0.24,0.3,0.2239,157,Mon,2
